YahooSymbol,Code,Company,Sector,is_reit
OCL.AX,OCL,OBJECTIVE CORPORATION LIMITED,Software & Services,False
OCN.AX,OCN,OCEANA METALS LIMITED,Materials,False
OCA.AX,OCA,OCEANIA HEALTHCARE LIMITED,Health Care Equipment & Services,False
OCT.AX,OCT,OCTAVA MINERALS LIMITED,Materials,False
OD6.AX,OD6,OD6 METALS LIMITED,Materials,False
ODE.AX,ODE,ODESSA MINERALS LIMITED,Materials,False
ODY.AX,ODY,ODYSSEY GOLD LTD,Materials,False
OFX.AX,OFX,OFX GROUP LIMITED,Financial Services,False
OLH.AX,OLH,OLDFIELDS HOLDINGS LIMITED,Capital Goods,False
OLI.AX,OLI,OLIVER'S REAL FOOD LIMITED,Consumer Services,False
OLY.AX,OLY,OLYMPIO METALS LIMITED,Materials,False
OMH.AX,OMH,OM HOLDINGS LIMITED,Materials,False
OMA.AX,OMA,OMEGA OIL & GAS LIMITED,Energy,False
OMG.AX,OMG,OMG GROUP LIMITED,"Food, Beverage & Tobacco",False
OBL.AX,OBL,OMNI BRIDGEWAY LIMITED,Financial Services,False
OM1.AX,OM1,OMNIA METALS GROUP LTD,Materials,False
OSL.AX,OSL,ONCOSIL MEDICAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
1CG.AX,1CG,ONE CLICK GROUP LIMITED,Capital Goods,False
ONE.AX,ONE,ONEVIEW HEALTHCARE PLC,Health Care Equipment & Services,False
OML.AX,OML,OOH!MEDIA LIMITED,Media & Entertainment,False
OLL.AX,OLL,OPENLEARNING LIMITED,Software & Services,False
OPN.AX,OPN,OPENN NEGOTIATION LIMITED,Commercial & Professional Services,False
OPT.AX,OPT,OPTHEA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
OIL.AX,OIL,OPTISCAN IMAGING LIMITED,Health Care Equipment & Services,False
OBM.AX,OBM,ORA BANDA MINING LTD,Materials,False
OMX.AX,OMX,ORANGE MINERALS NL,Materials,False
OEC.AX,OEC,ORBITAL CORPORATION LIMITED,Capital Goods,False
OB1.AX,OB1,ORBMINCO LIMITED,Materials,False
ODA.AX,ODA,ORCODA LIMITED,Software & Services,False
ORD.AX,ORD,ORDELL MINERALS LIMITED,Materials,False
OR3.AX,OR3,ORE RESOURCES LIMITED,Materials,False
ORE.AX,ORE,OREZONE GOLD CORPORATION,Materials,False
ORI.AX,ORI,ORICA LIMITED,Materials,False
ORG.AX,ORG,ORIGIN ENERGY LIMITED,Utilities,False
OEQ.AX,OEQ,ORION EQUITIES LIMITED,Financial Services,False
ORN.AX,ORN,ORION MINERALS LTD,Materials,False
ORA.AX,ORA,ORORA LIMITED,Materials,False
ORP.AX,ORP,ORPHEUS URANIUM LIMITED,Materials,False
OCC.AX,OCC,ORTHOCELL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
OSM.AX,OSM,OSMOND RESOURCES LIMITED,Materials,False
OSX.AX,OSX,OSTEOPORE LIMITED,Health Care Equipment & Services,False
OEL.AX,OEL,OTTO ENERGY LIMITED,Energy,False
OVT.AX,OVT,OVANTI LIMITED,Media & Entertainment,False
OZM.AX,OZM,OZAURUM RESOURCES LIMITED,Materials,False
OZZ.AX,OZZ,OZZ RESOURCES LIMITED,Materials,False
PGO.AX,PGO,PACGOLD LIMITED,Materials,False
PAC.AX,PAC,PACIFIC CURRENT GROUP LIMITED,Financial Services,False
PEB.AX,PEB,PACIFIC EDGE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
PLA.AX,PLA,PACIFIC LIME AND CEMENT LIMITED,Materials,False
PNM.AX,PNM,PACIFIC NICKEL MINES LIMITED,Materials,False
PXR.AX,PXR,PACIFIC RESOURCES LIMITED,Energy,False
PCK.AX,PCK,PAINCHEK LTD,Health Care Equipment & Services,False
PDN.AX,PDN,PALADIN ENERGY LTD,Energy,False
PCL.AX,PCL,PANCONTINENTAL ENERGY NL,Energy,False
PFE.AX,PFE,PANTERA MINERALS LIMITED,Materials,False
PNT.AX,PNT,PANTHER METALS LTD,Materials,False
PNR.AX,PNR,PANTORO GOLD LIMITED,Materials,False
PPY.AX,PPY,PAPYRUS AUSTRALIA LIMITED,Materials,False
PBL.AX,PBL,PARABELLUM RESOURCES LIMITED,Materials,False
PAR.AX,PAR,PARADIGM BIOPHARMACEUTICALS LIMITED..,"Pharmaceuticals, Biotechnology & Life Sciences",False
PGC.AX,PGC,PARAGON CARE LIMITED,Health Care Equipment & Services,False
PKD.AX,PKD,PARKD LTD,Commercial & Professional Services,False
PWN.AX,PWN,PARKWAY CORPORATE LIMITED,Materials,False
PL3.AX,PL3,PATAGONIA LITHIUM LTD,Materials,False
PSL.AX,PSL,PATERSON RESOURCES LTD,Materials,False
PKY.AX,PKY,PATHKEY.AI LTD,Software & Services,False
PAT.AX,PAT,PATRIOT RESOURCES LIMITED,Materials,False
PTN.AX,PTN,PATRONUS RESOURCES LIMITED,Materials,False
PAB.AX,PAB,PATRYS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
PC2.AX,PC2,PC GOLD LTD,Materials,False
PKP.AX,PKP,PEAK PROCESSING LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
PKO.AX,PKO,PEAKO LIMITED,Materials,False
PLG.AX,PLG,PEARL GULL IRON LIMITED,Materials,False
PEX.AX,PEX,PEEL MINING LIMITED,Materials,False
PPC.AX,PPC,PEET LIMITED,Real Estate Management & Development,False
PCG.AX,PCG,PENGANA CAPITAL GROUP LIMITED,Financial Services,False
PEN.AX,PEN,PENINSULA ENERGY LIMITED,Energy,False
5GG.AX,5GG,PENTANET LIMITED,Telecommunication Services,False
PPE.AX,PPE,PEOPLEIN LIMITED,Commercial & Professional Services,False
PPM.AX,PPM,PEPPER MONEY LIMITED,Financial Services,False
PIL.AX,PIL,PEPPERMINT INNOVATION LIMITED,Software & Services,False
PER.AX,PER,PERCHERON THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
PGD.AX,PGD,PEREGRINE GOLD LTD,Materials,False
PRN.AX,PRN,PERENTI LIMITED,Materials,False
PPT.AX,PPT,PERPETUAL LIMITED,Financial Services,False
PEC.AX,PEC,PERPETUAL RESOURCES LIMITED,Materials,False
PRU.AX,PRU,PERSEUS MINING LIMITED,Materials,False
PWR.AX,PWR,PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,False
PXA.AX,PXA,PEXA GROUP LIMITED,Real Estate Management & Development,False
PHX.AX,PHX,PHARMX TECHNOLOGIES LIMITED,Software & Services,False
PHO.AX,PHO,PHOSCO LTD,Materials,False
PET.AX,PET,PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED,Commercial & Professional Services,False
PGY.AX,PGY,PILOT ENERGY LIMITED,Energy,False
PNI.AX,PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,Financial Services,False
PIM.AX,PIM,PINNACLE MINERALS LIMITED,Materials,False
PNC.AX,PNC,PIONEER CREDIT LIMITED,Financial Services,False
PMM.AX,PMM,PIONEER MINERALS LIMITED,Materials,False
PVT.AX,PVT,PIVOTAL METALS LIMITED,Materials,False
PFM.AX,PFM,PLATFORMO LTD,Software & Services,False
PGM.AX,PGM,PLATINA RESOURCES LIMITED,Materials,False
PLY.AX,PLY,PLAYSIDE STUDIOS LIMITED,Media & Entertainment,False
PLT.AX,PLT,PLENTI GROUP LIMITED,Financial Services,False
PLS.AX,PLS,PLS GROUP LIMITED,Materials,False
PMT.AX,PMT,PMET RESOURCES INC.,Materials,False
PVE.AX,PVE,PO VALLEY ENERGY LIMITED,Energy,False
POD.AX,POD,PODIUM MINERALS LIMITED,Materials,False
3DP.AX,3DP,POINTERRA LIMITED,Software & Services,False
PBH.AX,PBH,POINTSBET HOLDINGS LIMITED,Consumer Services,False
PXX.AX,PXX,POLARX LIMITED,Materials,False
POL.AX,POL,POLYMETALS RESOURCES LTD,Materials,False
PNV.AX,PNV,POLYNOVO LIMITED,Health Care Equipment & Services,False
PNN.AX,PNN,POWER MINERALS LIMITED,Materials,False
PVL.AX,PVL,POWERHOUSE VENTURES LIMITED,Financial Services,False
PPK.AX,PPK,PPK GROUP LIMITED,Materials,False
PPS.AX,PPS,PRAEMIUM LIMITED,Software & Services,False
PL9.AX,PL9,PRAIRIE LITHIUM LIMITED,Materials,False
PDI.AX,PDI,PREDICTIVE DISCOVERY LIMITED,Materials,False
PMV.AX,PMV,PREMIER INVESTMENTS LIMITED,Consumer Discretionary Distribution & Retail,False
PLC.AX,PLC,PREMIER1 LITHIUM LIMITED,Materials,False
PTX.AX,PTX,PRESCIENT THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
PTL.AX,PTL,PRESTAL HOLDINGS LIMITED,Household & Personal Products,False
PFG.AX,PFG,PRIME FINANCIAL GROUP LIMITED,Financial Services,False
PRG.AX,PRG,PRL GLOBAL LTD,Materials,False
PME.AX,PME,PRO MEDICUS LIMITED,Health Care Equipment & Services,False
PPG.AX,PPG,PRO-PAC PACKAGING LIMITED,Materials,False
PRX.AX,PRX,PRODIGY GOLD NL,Materials,False
PRM.AX,PRM,PROMINENCE ENERGY LIMITED,Energy,False
PFP.AX,PFP,PROPEL FUNERAL PARTNERS LIMITED,Consumer Services,False
PRO.AX,PRO,PROPHECY INTERNATIONAL HOLDINGS LIMITED,Software & Services,False
PSC.AX,PSC,PROSPECT RESOURCES LIMITED,Materials,False
PIQ.AX,PIQ,PROTEOMICS INTERNATIONAL LABORATORIES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
PV1.AX,PV1,PROVARIS ENERGY LTD,Energy,False
PTR.AX,PTR,PTR MINERALS LTD,Materials,False
PFT.AX,PFT,PURE FOODS TASMANIA LIMITED,"Food, Beverage & Tobacco",False
P1E.AX,P1E,PURE ONE CORPORATION LIMITED,Energy,False
PR1.AX,PR1,PURE RESOURCES LIMITED,Materials,False
PPL.AX,PPL,PUREPROFILE LTD,Media & Entertainment,False
PUR.AX,PUR,PURSUIT MINERALS LTD,Materials,False
PVW.AX,PVW,PVW RESOURCES LIMITED,Materials,False
PWH.AX,PWH,PWR HOLDINGS LIMITED,Automobiles & Components,False
PYC.AX,PYC,PYC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
QAN.AX,QAN,QANTAS AIRWAYS LIMITED,Transportation,False
QBE.AX,QBE,QBE INSURANCE GROUP LIMITED,Insurance,False
QEM.AX,QEM,QEM LIMITED,Materials,False
QML.AX,QML,QMINES LIMITED,Materials,False
QOR.AX,QOR,QORIA LIMITED,Software & Services,False
QPM.AX,QPM,QPM ENERGY LIMITED,Materials,False
QAL.AX,QAL,QUALITAS LIMITED,Real Estate Management & Development,False
QRI.AX,QRI,QUALITAS REAL ESTATE INCOME FUND,Financial Services,False
QGL.AX,QGL,QUANTUM GRAPHITE LIMITED,Materials,False
QUB.AX,QUB,QUBE HOLDINGS LIMITED,Transportation,False
QUE.AX,QUE,QUESTE COMMUNICATIONS LIMITED,Financial Services,False
QFE.AX,QFE,QUICKFEE LIMITED,Financial Services,False
QXR.AX,QXR,QX RESOURCES LIMITED,Materials,False
RAC.AX,RAC,RACURA ONCOLOGY LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
RAD.AX,RAD,RADIOPHARM THERANOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
RAG.AX,RAG,RAGNAR METALS LIMITED,Materials,False
RAS.AX,RAS,RAGUSA MINERALS LTD,Materials,False
RDN.AX,RDN,RAIDEN RESOURCES LIMITED,Materials,False
RZI.AX,RZI,RAIZ INVEST LIMITED,Financial Services,False
RMS.AX,RMS,RAMELIUS RESOURCES LIMITED,Materials,False
RHC.AX,RHC,RAMSAY HEALTH CARE LIMITED,Health Care Equipment & Services,False
RND.AX,RND,RAND MINING LIMITED,Materials,False
RAN.AX,RAN,RANGE INTERNATIONAL LIMITED,Materials,False
RCM.AX,RCM,RAPID CRITICAL METALS LIMITED,Materials,False
RAP.AX,RAP,RAPTOR METALS LTD,Materials,False
REE.AX,REE,RAREX LIMITED,Materials,False
RTH.AX,RTH,RAS TECHNOLOGY HOLDINGS LIMITED,Commercial & Professional Services,False
RBR.AX,RBR,RBR GROUP LIMITED,Materials,False
REA.AX,REA,REA GROUP LTD,Media & Entertainment,False
RR1.AX,RR1,REACH RESOURCES LIMITED,Materials,False
RCL.AX,RCL,READCLOUD LIMITED,Software & Services,False
RDY.AX,RDY,READYTECH HOLDINGS LIMITED,Software & Services,False
RCE.AX,RCE,RECCE PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
REC.AX,REC,RECHARGE METALS LIMITED,Materials,False
RKN.AX,RKN,RECKON LIMITED,Software & Services,False
RFT.AX,RFT,RECTIFIER TECHNOLOGIES LTD,Capital Goods,False
RHI.AX,RHI,RED HILL MINERALS LIMITED,Materials,False
RDM.AX,RDM,RED METAL LIMITED,Materials,False
RMX.AX,RMX,RED MOUNTAIN MINING LIMITED,Materials,False
ROG.AX,ROG,RED SKY ENERGY LIMITED.,Energy,False
RC1.AX,RC1,REDCASTLE RESOURCES LIMITED,Materials,False
RIL.AX,RIL,REDIVIUM LIMITED,Materials,False
RDX.AX,RDX,REDOX LIMITED,Capital Goods,False
RDS.AX,RDS,REDSTONE RESOURCES LIMITED,Materials,False
REH.AX,REH,REECE LIMITED,Capital Goods,False
RLC.AX,RLC,REEDY LAGOON CORPORATION LIMITED,Materials,False
RCT.AX,RCT,REEF CASINO TRUST,Consumer Services,False
RPL.AX,RPL,REGAL PARTNERS LIMITED,Financial Services,False
R8R.AX,R8R,REGENER8 RESOURCES NL,Materials,False
REG.AX,REG,REGIS HEALTHCARE LIMITED,Health Care Equipment & Services,False
RRL.AX,RRL,REGIS RESOURCES LIMITED,Materials,False
RWC.AX,RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,Capital Goods,False
REM.AX,REM,REMSENSE TECHNOLOGIES LIMITED,Capital Goods,False
RNU.AX,RNU,RENASCOR RESOURCES LIMITED,Materials,False
RNX.AX,RNX,RENEGADE EXPLORATION LIMITED,Materials,False
RNV.AX,RNV,RENERVE LIMITED,Health Care Equipment & Services,False
RNT.AX,RNT,RENT.COM.AU LIMITED,Media & Entertainment,False
RMC.AX,RMC,RESIMAC GROUP LTD,Financial Services,False
RMD.AX,RMD,RESMED INC,Health Care Equipment & Services,False
RSG.AX,RSG,RESOLUTE MINING LIMITED,Materials,False
RML.AX,RML,RESOLUTION MINERALS LTD,Materials,False
RHT.AX,RHT,RESONANCE HEALTH LIMITED,Health Care Equipment & Services,False
RBX.AX,RBX,RESOURCE BASE LIMITED.,Materials,False
RMI.AX,RMI,RESOURCE MINERALS INTERNATIONAL LTD,Materials,False
REZ.AX,REZ,RESOURCES & ENERGY GROUP LIMITED,Materials,False
RAU.AX,RAU,RESOURO STRATEGIC METALS INC.,Materials,False
RFG.AX,RFG,RETAIL FOOD GROUP LIMITED,Consumer Services,False
RRR.AX,RRR,REVOLVER RESOURCES HOLDINGS LTD,Materials,False
RWD.AX,RWD,REWARD MINERALS LTD,Materials,False
RHY.AX,RHY,RHYTHM BIOSCIENCES LIMITED,Health Care Equipment & Services,False
SGL.AX,SGL,RICEGROWERS LIMITED,"Food, Beverage & Tobacco",False
RVT.AX,RVT,RICHMOND VANADIUM TECHNOLOGY LIMITED,Materials,False
RIC.AX,RIC,RIDLEY CORPORATION LIMITED,"Food, Beverage & Tobacco",False
RIE.AX,RIE,RIEDEL RESOURCES LIMITED,Materials,False
RRE.AX,RRE,RIGHT RESOURCES LIMITED,Materials,False
RIM.AX,RIM,RIMFIRE PACIFIC MINING LIMITED,Materials,False
RCR.AX,RCR,RINCON RESOURCES LIMITED,Materials,False
RIO.AX,RIO,RIO TINTO LIMITED,Materials,False
RIV.AX,RIV,RIVCO AUSTRALIA LTD,Utilities,False
RGL.AX,RGL,RIVERSGOLD LIMITED,Materials,False
RLF.AX,RLF,RLF AGTECH LTD,Materials,False
RMY.AX,RMY,RMA GLOBAL LIMITED,Media & Entertainment,False
RXR.AX,RXR,ROBEX RESOURCES INC.,Materials,False
ROC.AX,ROC,ROCKETBOOTS LIMITED,Software & Services,False
RKT.AX,RKT,ROCKETDNA LTD.,Technology Hardware & Equipment,False
RKB.AX,RKB,ROKEBY RESOURCES LIMITED,Materials,False
RON.AX,RON,RONIN RESOURCES LTD,Materials,False
RLG.AX,RLG,ROOLIFE GROUP LTD,Media & Entertainment,False
RXL.AX,RXL,ROX RESOURCES LIMITED,Materials,False
RPM.AX,RPM,RPM AUTOMOTIVE GROUP LIMITED,Automobiles & Components,False
RTG.AX,RTG,RTG MINING INC.,Materials,False
RWL.AX,RWL,RUBICON WATER LIMITED,Technology Hardware & Equipment,False
RB6.AX,RB6,RUBIX RESOURCES LIMITED,Materials,False
RTR.AX,RTR,RUMBLE RESOURCES LIMITED,Materials,False
RYM.AX,RYM,RYMAN HEALTHCARE LIMITED,Health Care Equipment & Services,False
S2R.AX,S2R,S2 RESOURCES LTD,Materials,False
SBR.AX,SBR,SABRE RESOURCES LIMITED,Materials,False
SRH.AX,SRH,SAFEROADS HOLDINGS LIMITED,Transportation,False
SAN.AX,SAN,SAGALIO ENERGY LIMITED,Energy,False
SLD.AX,SLD,"SALUDA MEDICAL, INC.",Health Care Equipment & Services,False
SFR.AX,SFR,SANDFIRE RESOURCES LIMITED,Materials,False
SFM.AX,SFM,SANTA FE MINERALS LTD,Materials,False
SMI.AX,SMI,SANTANA MINERALS LIMITED,Materials,False
STO.AX,STO,SANTOS LIMITED,Energy,False
SRR.AX,SRR,SARAMA RESOURCES LTD,Materials,False
SGA.AX,SGA,SARYTOGAN GRAPHITE LIMITED,Materials,False
STN.AX,STN,SATURN METALS LIMITED,Materials,False
SND.AX,SND,SAUNDERS INTERNATIONAL LIMITED,Capital Goods,False
SVG.AX,SVG,SAVANNAH GOLDFIELDS LIMITED,Materials,False
SCP.AX,SCP,SCALARE PARTNERS HOLDINGS LIMITED,Financial Services,False
SFC.AX,SFC,SCHAFFER CORPORATION LIMITED,Automobiles & Components,False
SDV.AX,SDV,SCIDEV LTD,Materials,False
SCN.AX,SCN,SCORPION MINERALS LIMITED,Materials,False
SCT.AX,SCT,SCOUT SECURITY LIMITED,Consumer Services,False
SDI.AX,SDI,SDI LIMITED,Health Care Equipment & Services,False
SEA.AX,SEA,SEA FOREST LIMITED,"Food, Beverage & Tobacco",False
SFG.AX,SFG,SEAFARMS GROUP LIMITED,"Food, Beverage & Tobacco",False
SN8.AX,SN8,SECURELINK NETWORKS LIMITED,Software & Services,False
SEK.AX,SEK,SEEK LIMITED,Media & Entertainment,False
SHV.AX,SHV,SELECT HARVESTS LIMITED,"Food, Beverage & Tobacco",False
SEN.AX,SEN,SENETAS CORPORATION LIMITED,Technology Hardware & Equipment,False
SNS.AX,SNS,SENSEN NETWORKS LIMITED,Software & Services,False
SNM.AX,SNM,SENTINEL METALS LIMITED,Materials,False
SEQ.AX,SEQ,SEQUOIA FINANCIAL GROUP LTD,Financial Services,False
SKO.AX,SKO,SERKO LIMITED,Software & Services,False
SRV.AX,SRV,SERVCORP LIMITED,Real Estate Management & Development,False
SSM.AX,SSM,SERVICE STREAM LIMITED,Capital Goods,False
SGH.AX,SGH,SGH LIMITED,Capital Goods,False
SHA.AX,SHA,SHAPE AUSTRALIA CORPORATION LIMITED,Capital Goods,False
SSG.AX,SSG,SHAVER SHOP GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
SFX.AX,SFX,SHEFFIELD RESOURCES LIMITED,Materials,False
SHJ.AX,SHJ,SHINE JUSTICE LTD,Consumer Services,False
SHM.AX,SHM,SHRIRO HOLDINGS LIMITED,Consumer Durables & Apparel,False
SNX.AX,SNX,SIERRA NEVADA GOLD INC.,Materials,False
SSL.AX,SSL,SIETEL LIMITED,Real Estate Management & Development,False
SIG.AX,SIG,SIGMA HEALTHCARE LIMITED,Health Care Equipment & Services,False
SLX.AX,SLX,SILEX SYSTEMS LIMITED,Capital Goods,False
SVL.AX,SVL,SILVER MINES LIMITED,Materials,False
SIS.AX,SIS,SIMBLE SOLUTIONS LIMITED,Software & Services,False
SIO.AX,SIO,SIMONDS GROUP LIMITED,Consumer Durables & Apparel,False
SGM.AX,SGM,SIMS LIMITED,Materials,False
SHG.AX,SHG,SINGULAR HEALTH GROUP LTD,Health Care Equipment & Services,False
SNG.AX,SNG,SIREN GOLD LIMITED,Materials,False
SDR.AX,SDR,SITEMINDER LIMITED,Software & Services,False
SIV.AX,SIV,SIV CAPITAL LIMITED,Capital Goods,False
SKN.AX,SKN,SKIN ELEMENTS LIMITED,Household & Personal Products,False
SKS.AX,SKS,SKS TECHNOLOGIES GROUP LIMITED,Capital Goods,False
SKY.AX,SKY,SKY METALS LIMITED,Materials,False
SKT.AX,SKT,SKY NETWORK TELEVISION LIMITED.,Media & Entertainment,False
SKC.AX,SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,Consumer Services,False
SKM.AX,SKM,SKYLARK MINERALS LIMITED,Materials,False
SPZ.AX,SPZ,SMART PARKING LIMITED,Commercial & Professional Services,False
SIQ.AX,SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services,False
SOC.AX,SOC,SOCO CORPORATION LTD,Software & Services,False
SLA.AX,SLA,SOLARA MINERALS LTD,Materials,False
SLM.AX,SLM,SOLIS MINERALS LIMITED,Materials,False
SLS.AX,SLS,SOLSTICE MINERALS LIMITED,Materials,False
SVR.AX,SVR,SOLVAR LIMITED,Financial Services,False
SMM.AX,SMM,SOMERSET MINERALS LIMITED,Materials,False
SOM.AX,SOM,SOMNOMED LIMITED,Health Care Equipment & Services,False
SHL.AX,SHL,SONIC HEALTHCARE LIMITED,Health Care Equipment & Services,False
SHP.AX,SHP,SOUTH HARZ POTASH LTD,Materials,False
S32.AX,S32,SOUTH32 LIMITED,Materials,False
SXE.AX,SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,Capital Goods,False
SX2.AX,SX2,SOUTHERN CROSS GOLD CONSOLIDATED LTD.,Materials,False
SXL.AX,SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,Media & Entertainment,False
SUH.AX,SUH,SOUTHERN HEMISPHERE MINING LIMITED,Materials,False
SPD.AX,SPD,SOUTHERN PALLADIUM LIMITED,Materials,False
SVM.AX,SVM,SOVEREIGN METALS LIMITED,Materials,False
SPA.AX,SPA,SPACETALK LTD,Software & Services,False
SPN.AX,SPN,SPARC TECHNOLOGIES LIMITED,Materials,False
SPK.AX,SPK,SPARK NEW ZEALAND LIMITED,Telecommunication Services,False
SPG.AX,SPG,SPC GLOBAL HOLDINGS LTD,"Food, Beverage & Tobacco",False
SP3.AX,SP3,SPECTUR LIMITED,Technology Hardware & Equipment,False
SPX.AX,SPX,SPENDA LIMITED,Software & Services,False
SEG.AX,SEG,SPORTS ENTERTAINMENT GROUP LIMITED,Media & Entertainment,False
SHO.AX,SHO,SPORTSHERO LIMITED,Media & Entertainment,False
SIX.AX,SIX,SPRINTEX LIMITED,Automobiles & Components,False
SQX.AX,SQX,SQX RESOURCES LIMITED,Materials,False
SRG.AX,SRG,SRG GLOBAL LIMITED,Capital Goods,False
SRJ.AX,SRJ,SRJ TECHNOLOGIES GROUP PLC,Energy,False
SSH.AX,SSH,SSH GROUP LTD,Energy,False
SBM.AX,SBM,ST BARBARA LIMITED,Materials,False
SGQ.AX,SGQ,ST GEORGE MINING LIMITED,Materials,False
SKK.AX,SKK,STAKK LIMITED,Telecommunication Services,False
SMR.AX,SMR,STANMORE RESOURCES LIMITED,Materials,False
S66.AX,S66,STAR COMBO PHARMA LIMITED,Household & Personal Products,False
SMS.AX,SMS,STAR MINERALS LIMITED,Materials,False
SPL.AX,SPL,STARPHARMA HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
GAS.AX,GAS,STATE GAS LIMITED,Energy,False
SVY.AX,SVY,STAVELY MINERALS LIMITED,Materials,False
SDF.AX,SDF,STEADFAST GROUP LIMITED,Insurance,False
SGI.AX,SGI,STEALTH GROUP HOLDINGS LTD,Capital Goods,False
SST.AX,SST,STEAMSHIPS TRADING COMPANY LIMITED,Capital Goods,False
SLB.AX,SLB,STELAR METALS LIMITED,Materials,False
SRZ.AX,SRZ,STELLAR RESOURCES LIMITED,Materials,False
STP.AX,STP,STEP ONE CLOTHING LIMITED,Consumer Discretionary Distribution & Retail,False
STH.AX,STH,STEPCHANGE HOLDINGS LIMITED,Software & Services,False
SHE.AX,SHE,STONEHORSE ENERGY LIMITED,Energy,False
STG.AX,STG,STRAKER LIMITED,Media & Entertainment,False
SRT.AX,SRT,STRATA INVESTMENT HOLDINGS PLC,Materials,False
SMX.AX,SMX,STRATA MINERALS LIMITED.,Materials,False
SOR.AX,SOR,STRATEGIC ELEMENTS LIMITED,Financial Services,False
SER.AX,SER,STRATEGIC ENERGY RESOURCES LIMITED,Materials,False
SP8.AX,SP8,STREAMPLAY STUDIO LIMITED,Media & Entertainment,False
STK.AX,STK,STRICKLAND METALS LIMITED,Materials,False
STX.AX,STX,STRIKE ENERGY LIMITED,Energy,False
SRK.AX,SRK,STRIKE RESOURCES LIMITED,Materials,False
SMN.AX,SMN,STRUCTURAL MONITORING SYSTEMS PLC,Technology Hardware & Equipment,False
SLZ.AX,SLZ,SULTAN RESOURCES LTD,Materials,False
SNZ.AX,SNZ,SUMMERSET GROUP HOLDINGS LIMITED,Health Care Equipment & Services,False
SUM.AX,SUM,SUMMIT MINERALS LIMITED,Materials,False
SS1.AX,SS1,SUN SILVER LIMITED,Materials,False
SUN.AX,SUN,SUNCORP GROUP LIMITED,Insurance,False
SRL.AX,SRL,SUNRISE ENERGY METALS LIMITED,Materials,False
SHN.AX,SHN,SUNSHINE METALS LIMITED,Materials,False
STM.AX,STM,SUNSTONE METALS LTD,Materials,False
SUL.AX,SUL,SUPER RETAIL GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
SPQ.AX,SPQ,SUPERIOR RESOURCES LIMITED,Materials,False
SLC.AX,SLC,SUPERLOOP LIMITED,Telecommunication Services,False
SNL.AX,SNL,SUPPLY NETWORK LIMITED,Consumer Discretionary Distribution & Retail,False
SRN.AX,SRN,SUREFIRE RESOURCES NL,Materials,False
STV.AX,STV,SWIFT TV LTD,Media & Entertainment,False
SWP.AX,SWP,SWOOP HOLDINGS LIMITED,Telecommunication Services,False
SYL.AX,SYL,SYMAL GROUP LIMITED,Capital Goods,False
SOP.AX,SOP,SYNERTEC CORPORATION LIMITED,Commercial & Professional Services,False
SM1.AX,SM1,SYNLAIT MILK LIMITED,"Food, Beverage & Tobacco",False
SNT.AX,SNT,SYNTARA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
SYR.AX,SYR,SYRAH RESOURCES LIMITED,Materials,False
TAH.AX,TAH,TABCORP HOLDINGS LIMITED,Consumer Services,False
T88.AX,T88,TAITON RESOURCES LIMITED,Materials,False
TLG.AX,TLG,TALGA GROUP LTD,Materials,False
TD1.AX,TD1,TALI DIGITAL LIMITED,Health Care Equipment & Services,False
TR2.AX,TR2,TALI RESOURCES LTD,Materials,False
TLM.AX,TLM,TALISMAN MINING LIMITED,Materials,False
TAL.AX,TAL,TALIUS GROUP LIMITED,Software & Services,False
TXR.AX,TXR,TALONX RESOURCES LIMITED,Materials,False
TWD.AX,TWD,TAMAWOOD LIMITED,Consumer Durables & Apparel,False
TBN.AX,TBN,TAMBORAN RESOURCES CORPORATION,Energy,False
TMB.AX,TMB,TAMBOURAH METALS LTD,Materials,False
TAM.AX,TAM,TANAMI GOLD NL,Materials,False
