YahooSymbol,Code,Company,Sector,is_reit
CP8.AX,CP8,CANADIAN PHOSPHATE LIMITED,Materials,False
CAN.AX,CAN,CANN GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CAE.AX,CAE,CANNINDAH RESOURCES LIMITED,Materials,False
CBY.AX,CBY,CANTERBURY RESOURCES LIMITED,Materials,False
CAY.AX,CAY,CANYON RESOURCES LIMITED,Materials,False
CAA.AX,CAA,CAPRAL LIMITED,Materials,False
CRS.AX,CRS,CAPRICE RESOURCES LTD,Materials,False
CMM.AX,CMM,CAPRICORN METALS LTD,Materials,False
CSC.AX,CSC,CAPSTONE COPPER CORP.,Materials,False
CAQ.AX,CAQ,CAQ HOLDINGS LIMITED,Real Estate Management & Development,False
CAR.AX,CAR,CAR GROUP LIMITED,Media & Entertainment,False
CVV.AX,CVV,CARAVEL MINERALS LIMITED,Materials,False
CRB.AX,CRB,CARBINE RESOURCES LIMITED,Materials,False
CG1.AX,CG1,CARBONXT GROUP LIMITED,Materials,False
CTQ.AX,CTQ,CARETEQ LIMITED,Health Care Equipment & Services,False
CMA.AX,CMA,CARMA LIMITED,Consumer Discretionary Distribution & Retail,False
CNB.AX,CNB,CARNABY RESOURCES LIMITED,Materials,False
CVN.AX,CVN,CARNARVON ENERGY LIMITED,Energy,False
CAV.AX,CAV,CARNAVALE RESOURCES LIMITED,Materials,False
CCE.AX,CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities,False
CCV.AX,CCV,CASH CONVERTERS INTERNATIONAL,Financial Services,False
CPN.AX,CPN,CASPIN RESOURCES LIMITED,Materials,False
CMD.AX,CMD,CASSIUS MINING LIMITED,Materials,False
CST.AX,CST,CASTILE RESOURCES LTD,Materials,False
CDT.AX,CDT,CASTLE MINERALS LIMITED,Materials,False
CTN.AX,CTN,CATALINA RESOURCES LTD,Materials,False
CYL.AX,CYL,CATALYST METALS LIMITED,Materials,False
CAT.AX,CAT,CATAPULT SPORTS LTD,Software & Services,False
CXU.AX,CXU,CAULDRON ENERGY LIMITED,Energy,False
CVR.AX,CVR,CAVALIER RESOURCES LIMITED,Materials,False
CAZ.AX,CAZ,CAZALY RESOURCES LIMITED,Materials,False
CWP.AX,CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,False
CLA.AX,CLA,CELSIUS RESOURCES LIMITED.,Materials,False
CTM.AX,CTM,CENTAURUS METALS LIMITED,Materials,False
CTP.AX,CTP,CENTRAL PETROLEUM LIMITED,Energy,False
CAF.AX,CAF,CENTREPOINT ALLIANCE LIMITED,Financial Services,False
CTT.AX,CTT,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail,False
CGR.AX,CGR,CGN RESOURCES LIMITED,Materials,False
CHN.AX,CHN,CHALICE MINING LIMITED,Materials,False
CEL.AX,CEL,CHALLENGER GOLD LIMITED,Materials,False
